Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
Resonance of Fate,2010,0.2,0.21,0.24,0.08,0.73,72,42,136,7.78,8.06,7.5
Ride,2015,0.02,0.08,0.015,0.015,0.125,67,19,38.5,7.395,7.98,6.815
Ridge Racer 3D,2011,0.19,0.15,0.12,0.03,0.49,75,59,56,8.05,8.75,7.35
Ridge Racer 7,2006,0.24,0.7,0.16,0.26,1.36,78,45,52,7.72,7.72,7.73
Ridge Racer Unbounded,2012,0.025,0.055,0,0.015,0.095,72,14.5,56,6.91,6.545,7.275
Rise of Nations: Rise of Legends,2006,0,0.03,0,0.01,0.03,84,46,108,7.72,7.69,7.76
Rise of the Tomb Raider,2016,0,0.11,0,0.01,0.12,86,45,915,8.87,9.29,8.44
Risen,2009,0,0.11,0,0.02,0.14,77,32,676,7.82,8.54,7.11
Risen 2: Dark Waters,2012,0.02,0.16,0.005,0.035,0.22,58,32,394,6.935,7.315,6.56
Risen 3: Titan Lords,2014,0.01,0.065,0,0.005,0.085,50.5,28.5,449.5,6.89,7.57,6.205
Rock Band 2,2008,1.13,0.2,0,0.16,1.49,91,24,88,8.32,8.36,8.29
Rock Band 3,2010,0.43,0.08,0,0.05,0.57,91,34,95,8.66,8.36,8.96
Rock Band 4,2015,0.26,0.05,0,0.07,0.38,78,51,87,8.02,8.32,7.73
Rocket League,2016,0.02,0.16,0,0.025,0.215,85.5,35,935,8.775,9.275,8.265
Rocksmith,2011,0.53,0.36,0.09,0.15,1.12,80,27,52,7.78,8,7.55
Rodea the Sky Soldier,2015,0.03,0,0,0,0.04,45,7,37,6.58,7.82,5.35
Rome: Total War,2004,0,0.09,0,0.02,0.1,92,58,1050,8.75,9.18,8.32
Rory McIlroy PGA Tour,2015,0.18,0.25,0,0.08,0.52,61,33,78,6.4,6.63,6.16
Rugby World Cup 2011,2011,0,0.24,0,0.07,0.32,50,12,7,6.64,7.38,5.9
Rune Factory 4,2012,0.32,0,0.21,0.03,0.57,78,33,122,8.73,9.58,7.88
Rune Factory: Tides of Destiny,2011,0.14,0,0.07,0.02,0.23,55,12,44,7.6,8.44,6.75
S.T.A.L.K.E.R.: Call of Pripyat,2009,0,0.05,0,0.01,0.06,80,44,602,8.61,9.48,7.75
S.T.A.L.K.E.R.: Clear Sky,2008,0,0.03,0,0.01,0.04,75,47,478,7.9,8.54,7.26
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,0.01,0.04,0,0.01,0.06,82,44,1088,8.6,9.33,7.87
SOCOM 4: U.S. Navy SEALs,2011,0.66,0.11,0.04,0.08,0.89,67,64,121,7.26,7.91,6.61
