Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1980,3314.0,1.176666666666667,0.07444444444444447,0.0,0.01333333333333333,1.2644444444444443
1981,4141.04347826087,0.726086956521739,0.04260869565217393,0.0,0.006956521739130438,0.7776086956521742
1982,4144.055555555556,0.7477777777777779,0.04583333333333336,0.0,0.008611111111111116,0.8016666666666665
1983,3338.764705882353,0.45647058823529413,0.04705882352941178,0.4764705882352941,0.008235294117647058,0.9876470588235295
1984,1636.5,2.3771428571428572,0.14999999999999997,1.0192857142857141,0.05000000000000001,3.5971428571428583
1985,3964.6428571428573,2.4092857142857143,0.3385714285714286,1.04,0.06571428571428573,3.852857142857143
1986,1713.6190476190477,0.5952380952380952,0.13523809523809527,0.9433333333333332,0.0919047619047619,1.7652380952380953
1987,3418.8125,0.5287500000000002,0.08812500000000001,0.726875,0.012500000000000002,1.3587499999999997
1988,2478.733333333333,1.5913333333333333,0.4393333333333334,1.0506666666666666,0.066,3.148
1989,2362.1176470588234,2.6558823529411764,0.4964705882352941,1.08,0.08823529411764708,4.320588235294117
1990,1569.125,1.59125,0.47687499999999994,0.9300000000000002,0.08750000000000002,3.0868749999999996
1991,5190.756097560976,0.31121951219512195,0.09634146341463413,0.3604878048780488,0.01804878048780488,0.7860975609756099
1992,4858.7441860465115,0.7876744186046511,0.2723255813953489,0.6723255813953488,0.038372093023255824,1.771162790697674
1993,6312.7,0.25199999999999995,0.07749999999999999,0.4221666666666668,0.014833333333333336,0.7663333333333333
1994,7180.917355371901,0.23264462809917358,0.12297520661157023,0.28090909090909105,0.018181818181818174,0.6542975206611573
1995,8582.62100456621,0.11333333333333338,0.06803652968036521,0.20890410958904115,0.012054794520547911,0.4023287671232873
1996,7268.7148288973385,0.3298859315589353,0.17969581749049424,0.21840304182509493,0.02923954372623566,0.7572243346007602
1997,6563.937716262976,0.3278546712802771,0.16719723183391,0.16910034602076116,0.03159169550173003,0.6954325259515576
1998,6922.137203166227,0.33868073878627963,0.17651715039577867,0.1320316622691293,0.029102902374670028,0.6767018469656982
1999,6470.544378698225,0.3729585798816569,0.18541420118343205,0.15485207100591716,0.029733727810650742,0.7434023668639058
2000,6809.0888252149,0.2707449856733526,0.15114613180515768,0.12255014326647577,0.0332951289398279,0.5775358166189117
2001,7026.49377593361,0.3609543568464738,0.19686721991701214,0.08269709543568463,0.04721991701244852,0.6876970954356828
2002,8239.068757539204,0.26078407720144764,0.1323763570566952,0.050373944511459615,0.03290711700844422,0.47710494571773016
2003,7885.154838709677,0.24979354838709764,0.1339483870967746,0.044129032258064554,0.03356129032258096,0.46174193548386955
2004,7630.7338709677415,0.29408602150537677,0.14236559139784993,0.055981182795698914,0.06349462365591377,0.5564650537634391
2005,8205.422008547008,0.25809829059829115,0.1298717948717953,0.05799145299145301,0.043322649572649384,0.48986111111110864
2006,9487.691468253968,0.2610317460317449,0.12821428571428556,0.07314484126984125,0.05399801587301571,0.5169047619047537
2007,8611.944213155704,0.25910074937551897,0.13337218984179827,0.050199833472106666,0.06459616985845214,0.5078434637801778
2008,8464.990896358544,0.2461064425770302,0.1291316526610643,0.042198879551820744,0.05769607843137353,0.47542016806722354
2009,8679.398322851153,0.2367924528301879,0.13388539482879092,0.04324947589098531,0.0522501747030059,0.4663172606568796
2010,8778.667462211615,0.24203659506762132,0.140469371519491,0.04732696897374719,0.0476531424025457,0.4775576770087469
2011,8782.597711267606,0.21214788732394446,0.147279929577465,0.0466901408450705,0.047878521126760415,0.4540492957746454
2012,8436.007633587786,0.23653435114503824,0.18131297709923666,0.07899236641221392,0.05774045801526718,0.5549465648854938
2013,8055.59706959707,0.28346153846153865,0.23040293040293047,0.08716117216117227,0.07293040293040294,0.6741941391941367
2014,8290.924137931035,0.22753448275862104,0.21660344827586223,0.06803448275862084,0.069,0.5810862068965491
2015,9797.79641693811,0.16745928338762203,0.15913680781758963,0.05491856677524451,0.04887622149837155,0.43068403908794456
2016,11402.043859649122,0.06625730994152064,0.07824561403508791,0.03997076023391804,0.022660818713450243,0.20730994152046822
2017,15692.666666666666,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666
2020,5959.0,0.27,0.0,0.0,0.02,0.29
