Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,PlayScore,GameScore,CriticScore
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.02,0.04,0,0.01,0.06,60,38,6.7,116,Spiders,M,7,7.55,6.45
Blur,PC,2010,Racing,Activision,0.01,0.04,0,0.01,0.06,81,24,7.4,177,Bizarre Creations,E10+,7.6,7.72,7.48
Unreal Tournament III,PC,2007,Shooter,Midway Games,0,0.05,0,0.01,0.06,83,41,8,523,Epic Games,M,8.25,8.5,8.01
Call of Duty 2,PC,2005,Shooter,Activision,0,0.05,0,0.01,0.06,86,64,8.4,626,Infinity Ward,T,8.46,8.86,8.06
Dead Rising 2: Off the Record,PC,2011,Action,Capcom,0.04,0.02,0,0.01,0.06,66,10,5.3,54,Capcom Vancouver,M,7.31,7.82,6.79
The Witcher,PC,2007,Role-Playing,Atari,0,0.05,0,0.01,0.06,81,50,8.8,1116,CD Projekt Red Studio,M,8.05,8.28,7.82
S.T.A.L.K.E.R.: Call of Pripyat,PC,2009,Shooter,Namco Bandai Games,0,0.05,0,0.01,0.06,80,44,8.7,602,GSC Game World,M,8.61,9.48,7.75
Lord of Magna: Maiden Heaven,3DS,2014,Role-Playing,Marvelous Entertainment,0,0,0.06,0,0.06,68,16,7.8,36,Marvelous Inc.,T,7.76,8.47,7.05
Sacred 2: Fallen Angel,PC,2008,Role-Playing,Ascaron Entertainment GmbH,0,0.05,0,0.01,0.06,71,41,6.9,203,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,7.32,7.36,7.27
Need for Speed: Shift,PC,2009,Racing,Electronic Arts,0,0.05,0,0.01,0.06,83,22,5.8,387,Slightly Mad Studios,E,7.78,7.35,8.2
Street Fighter V,PC,2016,Fighting,Capcom,0,0.05,0,0,0.06,74,33,2.9,431,Capcom,T,6.96,6.2,7.72
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,Shooter,THQ,0.01,0.04,0,0.01,0.06,82,44,8.4,1088,GSC Game World,M,8.6,9.33,7.87
Tokyo Twilight Ghost Hunters,PS3,2014,Role-Playing,Aksys Games,0.03,0,0.02,0.01,0.06,64,11,6.4,17,TOYBOX,T,7.06,7.34,6.78
Remember Me,PC,2013,Action,Capcom,0,0.05,0,0,0.06,65,26,7.4,1007,DONTNOD Entertainment,M,7.54,8.26,6.83
The Saboteur,PC,2009,Action,Electronic Arts,0,0.05,0,0.01,0.06,76,20,8,236,Pandemic Studios,M,7.42,7.88,6.96
Rocket League,PC,2016,Sports,505 Games,0.01,0.04,0,0,0.06,86,20,8.2,580,Psyonix,E,8.71,9.2,8.21
Mirror's Edge,PC,2009,Platform,Electronic Arts,0,0.05,0,0.01,0.06,81,44,8.1,1026,EA DICE,T,8.28,8.64,7.92
Titan Quest,PC,2006,Role-Playing,THQ,0.01,0.04,0,0.01,0.06,77,51,8.1,387,Iron Lore Entertainment,T,7.91,8.02,7.8
Gothic 3,PC,2006,Role-Playing,JoWood Productions,0,0.05,0,0.01,0.06,63,39,7.3,519,Piranha Bytes,T,7.48,7.91,7.05
F1 2010,PC,2010,Racing,Codemasters,0,0.05,0,0.01,0.05,84,15,6.6,99,Codemasters Birmingham,E,7.96,7.94,7.97
Enemy Front,PS3,2014,Shooter,City Interactive,0.01,0.04,0,0.01,0.05,43,12,6,75,CI Games,M,6.13,7.4,4.86
Front Mission Evolved,PC,2010,Shooter,Square Enix,0.05,0,0,0,0.05,63,13,5.1,48,Double Helix Games,T,6.08,6.16,6
Murdered: Soul Suspect,PC,2014,Action,Square Enix,0,0.05,0,0,0.05,59,22,7.4,379,Airtight Games,M,7.24,8.44,6.05
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05,52,64,3.5,282,Inti Creates,E10+,6.38,7.09,5.67
Medal of Honor: Airborne,PC,2007,Shooter,Electronic Arts,0,0.04,0,0.01,0.05,78,38,7.3,204,Electronic Arts,T,7.77,7.81,7.73
Men of War: Assault Squad,PC,2011,Strategy,1C Company,0.01,0.03,0,0.01,0.05,77,21,8.2,93,"THQ, 1C, 1C Company",T,8.17,8.67,7.68
Hunted: The Demon's Forge,PC,2011,Action,Bethesda Softworks,0.03,0.01,0,0,0.05,61,21,6.6,127,InXile Entertainment,M,6.78,7.08,6.48
Mortal Kombat X,PC,2015,Fighting,Warner Bros. Interactive Entertainment,0.01,0.04,0,0,0.05,76,10,5.1,475,High Voltage Software,M,8.13,8.19,8.06
Cities in Motion,PC,2011,Simulation,Paradox Interactive,0,0.04,0,0.01,0.05,70,20,7.7,105,Colossal Order,E,7.37,7.47,7.27
