Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
DS,2010,3209520,42.36000000000002,20.070000000000036,19.859999999999996,5.729999999999965,87.97999999999995
DS,2011,1603002,15.290000000000001,6.179999999999994,4.319999999999998,2.0200000000000005,27.799999999999994
DS,2012,267723,4.180000000000001,3.0199999999999996,3.7199999999999998,0.6300000000000001,11.589999999999995
DS,2013,86056,0.7200000000000001,1.07,0.0,0.17,1.9600000000000002
DS,2014,15453,0.02,0.0,0.0,0.0,0.02
DS,2020,5959,0.27,0.0,0.0,0.02,0.29
GB,1988,1352,0.8200000000000001,0.23,0.35000000000000003,0.03,1.43
GB,1989,8940,39.809999999999995,7.599999999999999,16.16,1.4000000000000001,64.98
GB,1990,7659,2.24,0.8900000000000001,1.33,0.43000000000000005,4.890000000000001
GB,1991,46383,1.43,0.6799999999999999,3.380000000000001,0.08,5.57
GB,1992,11062,13.100000000000001,4.239999999999999,7.510000000000002,0.6400000000000001,25.48
GB,1994,947,6.03,2.36,3.1900000000000004,0.6000000000000001,12.170000000000002
GB,1995,15409,0.6900000000000001,0.14,2.7199999999999998,0.05,3.5999999999999996
GB,1996,20724,12.66,9.370000000000001,12.91,1.09,36.02
GB,1997,30544,2.09,0.9000000000000001,3.2600000000000002,0.12,6.37
GB,1998,20896,9.44,7.0,9.55,0.9099999999999999,26.9
GB,1999,39998,16.21,8.91,11.750000000000002,1.1300000000000001,38.010000000000005
GB,2000,80806,6.390000000000001,3.52,8.360000000000001,1.4900000000000002,19.76
GB,2001,45678,2.73,1.67,4.65,0.19,9.24
GBA,2000,12272,0.05,0.02,0.0,0.0,0.06
GBA,2001,838899,36.24000000000001,15.919999999999991,7.46,1.910000000000001,61.62000000000001
GBA,2002,1826662,43.019999999999975,17.120000000000058,12.209999999999996,1.8100000000000005,74.38
GBA,2003,1278954,33.529999999999994,13.18999999999998,8.590000000000002,1.3600000000000008,56.72999999999996
GBA,2004,1217528,40.640000000000036,16.750000000000032,13.519999999999998,1.7600000000000007,72.78999999999999
GBA,2005,1190830,20.669999999999998,7.929999999999986,3.270000000000001,0.5500000000000003,32.47
