Name,Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009,7859,0.0,0.0,0.19,0.0,0.19
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010,11747,0.0,0.0,0.07,0.0,0.07
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,2006,10473,0.0,0.0,0.1,0.0,0.1
Bolt,DS,2008,3258,0.35000000000000003,0.21,0.0,0.06,0.62
Bolt,PS2,2008,6478,0.09,0.02,0.0,0.16,0.26
Bolt,PS3,2008,7939,0.12,0.05,0.0,0.02,0.19
Bolt,Wii,2008,3557,0.19,0.31,0.0,0.06,0.5700000000000001
Bolt,X360,2008,6710,0.18,0.05,0.0,0.02,0.25
Bombastic,PS2,2002,12843,0.03,0.02,0.0,0.01,0.05
Bomberman,DS,2005,8687,0.1,0.02,0.03,0.01,0.16
Bomberman,NES,1985,2022,0.18,0.0,0.85,0.0,1.03
Bomberman,PSP,2006,8733,0.14,0.0,0.0,0.01,0.15
Bomberman,Wii,2008,16491,0.0,0.0,0.01,0.0,0.01
Bomberman (jp sales),PSP,2006,15995,0.0,0.0,0.01,0.0,0.01
Bomberman 2,DS,2008,15586,0.0,0.01,0.0,0.0,0.02
Bomberman 64,N64,1997,2003,0.5,0.2,0.31,0.03,1.04
Bomberman 64: The Second Attack!,N64,1999,8340,0.05,0.01,0.11,0.0,0.17
Bomberman B-Daman,SNES,1996,8373,0.0,0.0,0.17,0.0,0.17
Bomberman Fantasy Race,PS,1998,14993,0.01,0.01,0.0,0.0,0.02
Bomberman Generation,GC,2002,6622,0.15,0.04,0.06,0.01,0.25
Bomberman Hero,N64,1998,4188,0.27,0.06,0.08,0.05,0.47000000000000003
Bomberman II,NES,1991,4453,0.16,0.03,0.15,0.1,0.44
Bomberman Jetters,GC,2002,11320,0.06,0.02,0.0,0.0,0.08
Bomberman Land,PS,2000,8498,0.0,0.0,0.15,0.01,0.16
Bomberman Land,PSP,2007,12331,0.06,0.0,0.0,0.01,0.06
Bomberman Land,Wii,2007,8372,0.11,0.02,0.03,0.01,0.17
Bomberman Land Touch!,DS,2006,11167,0.04,0.0,0.04,0.0,0.09
Bomberman Land Touch! 2,DS,2007,8666,0.13,0.0,0.01,0.01,0.16
Bomberman Max 2: Blue Advance,GBA,2002,10965,0.07,0.02,0.0,0.0,0.09
Bomberman Max 2: Red Advance,GBA,2002,11804,0.05,0.02,0.0,0.0,0.07
Bomberman Party Edition,PS,1998,9735,0.07,0.05,0.0,0.01,0.12
Bomberman Story DS,DS,2007,15023,0.0,0.0,0.02,0.0,0.02
Bomberman Tournament,GBA,2001,6665,0.1,0.04,0.1,0.01,0.25
Bomberman World,PS,1998,5453,0.06,0.04,0.22,0.02,0.33
Bomberman: Act Zero,X360,2006,13820,0.04,0.0,0.0,0.0,0.04
Boogie,DS,2007,6269,0.25,0.0,0.0,0.02,0.27
Boogie,PS2,2007,7897,0.09,0.07,0.0,0.02,0.19
Boogie,Wii,2007,3974,0.43,0.03,0.0,0.04,0.5
Boogie SuperStar,Wii,2008,6831,0.2,0.02,0.0,0.02,0.24
Book of Spells,PS3,2012,2931,0.13,0.4,0.0,0.16,0.7000000000000001
Bookworm,DS,2009,5409,0.31,0.01,0.0,0.02,0.34
Bookworm,GBA,2004,14848,0.02,0.01,0.0,0.0,0.03
Bookworm Deluxe,PC,2006,16550,0.01,0.0,0.0,0.0,0.01
Boom Blox,Wii,2008,1631,0.72,0.38,0.0,0.12,1.23
Boom Blox Bash Party,Wii,2009,4193,0.34,0.09,0.0,0.04,0.47000000000000003
BoomBots,PS,1999,10045,0.06,0.04,0.0,0.01,0.11
Boot Camp Academy,Wii,2010,14403,0.03,0.0,0.0,0.0,0.03
Borderlands,PC,2009,8035,0.01,0.14,0.0,0.04,0.18
Borderlands,PS3,2009,779,1.2,0.62,0.0,0.29,2.11
Borderlands,X360,2009,385,2.39,0.73,0.03,0.29,3.44
Borderlands 2,PC,2012,2226,0.42,0.41000000000000003,0.0,0.11,0.93
Borderlands 2,PS3,2012,705,1.05,0.77,0.1,0.36,2.2800000000000002
Borderlands 2,PSV,2014,2488,0.43,0.21,0.01,0.19,0.8300000000000001
Borderlands 2,X360,2012,454,1.8900000000000001,0.91,0.04,0.24,3.07
Borderlands: Double Game Add-On Pack,X360,2010,9525,0.1,0.02,0.0,0.01,0.13
Borderlands: The Handsome Collection,PS4,2015,2473,0.36,0.32,0.03,0.14,0.84
Borderlands: The Handsome Collection,XOne,2015,4771,0.24,0.13,0.0,0.04,0.41000000000000003
Borderlands: The Pre-Sequel,PC,2014,6073,0.11,0.15,0.0,0.03,0.29
Borderlands: The Pre-Sequel,PS3,2014,3049,0.25,0.26,0.05,0.11,0.67
Borderlands: The Pre-Sequel,X360,2014,2759,0.46,0.22,0.01,0.06,0.75
Botanicula,PC,2012,14649,0.0,0.02,0.0,0.0,0.03
Bottom of the 9th,N64,1999,5146,0.37,0.0,0.0,0.0,0.37
Bottom of the 9th,PS,1996,9192,0.08,0.05,0.0,0.01,0.14
Bottom of the 9th '97,PS,1997,15077,0.01,0.01,0.0,0.0,0.02
Bottom of the 9th '99,PS,1998,12879,0.03,0.02,0.0,0.0,0.05
Boulder Dash: Rocks!,DS,2007,14132,0.0,0.03,0.0,0.0,0.03
Bound By Flame,PS4,2014,7749,0.07,0.08,0.0,0.04,0.19
Bounty Hounds,PSP,2006,14123,0.03,0.0,0.0,0.0,0.03
Boxer's Road,PS,1995,5247,0.0,0.0,0.33,0.02,0.36
Boxing,2600,1980,2671,0.72,0.04,0.0,0.01,0.77
Boxing,PS,2000,11770,0.04,0.03,0.0,0.0,0.07
Boxing Fever,GBA,2001,11556,0.06,0.02,0.0,0.0,0.08
Braid,PC,2009,14529,0.0,0.02,0.0,0.01,0.03
Brain Age 2: More Training in Minutes a Day,DS,2005,28,3.44,5.36,5.32,1.18,15.3
Brain Age: Concentration Training,3DS,2012,10925,0.09,0.0,0.0,0.01,0.09
Brain Age: Train Your Brain in Minutes a Day,DS,2005,20,4.75,9.26,4.16,2.05,20.22
Brain Assist,DS,2007,9377,0.12,0.0,0.0,0.01,0.13
Brain Boost: Beta Wave,DS,2005,8914,0.14,0.0,0.0,0.01,0.15
Brain Boost: Gamma Wave,DS,2005,8886,0.14,0.0,0.0,0.01,0.15
Brain Challenge,DS,2008,4333,0.41000000000000003,0.01,0.0,0.03,0.45
Brain Dead 13,PS,1996,15304,0.01,0.01,0.0,0.0,0.02
Brain Exercise With Dr. Kawashima,PC,2009,16118,0.0,0.01,0.0,0.0,0.01
Brain Quest: Grades 3 & 4,DS,2008,12187,0.06,0.0,0.0,0.01,0.07
Brain Quest: Grades 5 & 6,DS,2008,10032,0.11,0.0,0.0,0.01,0.11
Brain Voyage,DS,2008,11183,0.06,0.02,0.0,0.01,0.09
Brandish: The Dark Revenant,PSP,2009,15118,0.0,0.0,0.02,0.0,0.02
Bratz,GBA,2002,9346,0.1,0.04,0.0,0.0,0.13
Bratz 4 Real,DS,2007,3550,0.29,0.22,0.0,0.06,0.5700000000000001
Bratz Kidz,DS,2008,14044,0.03,0.0,0.0,0.0,0.04
Bratz Kidz,Wii,2008,8334,0.16,0.0,0.0,0.01,0.17
Bratz Ponyz,DS,2007,6116,0.26,0.0,0.0,0.02,0.28
Bratz Ponyz 2,DS,2008,6559,0.24,0.0,0.0,0.02,0.26
Bratz: Forever Diamondz,DS,2006,1278,0.43,0.88,0.0,0.18,1.48
Bratz: Forever Diamondz,GC,2006,7343,0.17,0.04,0.0,0.01,0.21
Bratz: Forever Diamondz,PS2,2006,16157,0.01,0.01,0.0,0.0,0.01
Bratz: Girlz Really Rock,DS,2008,5591,0.18,0.11,0.0,0.03,0.32
Bratz: Girlz Really Rock,PS2,2008,7095,0.11,0.09,0.0,0.03,0.23
Bratz: Girlz Really Rock,Wii,2008,7363,0.19,0.0,0.0,0.02,0.21
Bratz: Rock Angelz,GBA,2004,3736,0.39,0.14,0.0,0.01,0.54
Bratz: Rock Angelz,GC,2005,7553,0.16,0.04,0.0,0.01,0.2
Bratz: Rock Angelz,PS2,2005,5021,0.19,0.15,0.0,0.05,0.38
Bratz: Super Babyz,DS,2008,6099,0.26,0.0,0.0,0.02,0.29
Bratz: The Movie,PS2,2007,4119,0.24,0.18,0.0,0.06,0.48
Bratz: The Movie,Wii,2007,6338,0.24,0.01,0.0,0.02,0.27
Brave Fencer Musashi,PS,1998,1787,0.25,0.17,0.65,0.07,1.1400000000000001
Brave Story: Boku no Kioku to Negai,DS,2006,15810,0.0,0.0,0.02,0.0,0.02
Brave Story: New Traveler (US sales),PSP,2006,10190,0.11,0.0,0.0,0.0,0.11
Brave Story: New Traveller (jp sales),PSP,2006,13411,0.0,0.0,0.05,0.0,0.05
Brave: A Warrior's Tale,Wii,2009,12617,0.05,0.0,0.0,0.0,0.06
Brave: A Warrior's Tale,X360,2009,12653,0.05,0.01,0.0,0.0,0.06
Brave: The Video Game,DS,2012,15251,0.0,0.02,0.0,0.0,0.02
Brave: The Video Game,Wii,2012,15107,0.0,0.02,0.0,0.0,0.02
Bravely Default: Flying Fairy,3DS,2012,1404,0.5,0.32,0.49,0.07,1.38
Bravely Second: End Layer,3DS,2015,4152,0.16,0.11,0.18,0.03,0.47000000000000003
Bravo Air Race,PS,1997,9132,0.08,0.05,0.0,0.01,0.14
Breach,PC,2011,16588,0.01,0.0,0.0,0.0,0.01
Break 'Em All,DS,2005,9746,0.11,0.0,0.0,0.01,0.12
Breakdown,XB,2004,9796,0.09,0.03,0.0,0.0,0.12
Breakout,PS,1999,10242,0.06,0.04,0.0,0.01,0.11
Breath of Fire,GBA,2001,7172,0.11,0.04,0.06,0.0,0.22
Breath of Fire II,GBA,2001,7760,0.14,0.05,0.0,0.0,0.19
Breath of Fire II,SNES,1994,5219,0.0,0.0,0.36,0.0,0.36
Breath of Fire III,PS,1997,2058,0.29,0.19,0.46,0.07,1.0
Breath of Fire III,PSP,2005,13638,0.0,0.03,0.0,0.01,0.04
Breath of Fire IV,PS,2000,3561,0.11,0.08,0.34,0.04,0.56
Breath of Fire: Dragon Quarter,PS2,2002,7791,0.09,0.07,0.0,0.02,0.19
Breeding Stud 2,PS,1998,13697,0.0,0.0,0.04,0.0,0.04
Brian Lara Cricket,PS,1998,1579,0.02,1.13,0.01,0.1,1.26
Bridge,2600,1980,6319,0.25,0.02,0.0,0.0,0.27
Brigandine: The Legend of Forsena,PS,1998,10986,0.05,0.03,0.0,0.01,0.09
Brink,PC,2011,8132,0.06,0.09,0.0,0.03,0.18
Brink,PS3,2011,2775,0.29,0.32,0.01,0.12,0.74
Brink,X360,2011,2001,0.59,0.35000000000000003,0.01,0.09,1.04
Britney's Dance Beat,GBA,2002,7299,0.15,0.06,0.0,0.0,0.22
Britney's Dance Beat,PS2,2002,6799,0.12,0.09,0.0,0.03,0.24
Broken Helix,PS,1997,12656,0.03,0.02,0.0,0.0,0.06
Broken Sword 5: The Serpent's Curse,PS4,2015,12282,0.0,0.06,0.0,0.01,0.06
Broken Sword 5: The Serpent's Curse,XOne,2015,16237,0.0,0.01,0.0,0.0,0.01
Broken Sword II: The Smoking Mirror,PS,1997,12742,0.03,0.02,0.0,0.0,0.06
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,6787,0.12,0.1,0.0,0.02,0.24
Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,8220,0.07,0.09,0.0,0.02,0.17
Broken Sword: The Shadow of the Templars,GBA,2002,12591,0.04,0.02,0.0,0.0,0.06
Broken Sword: The Sleeping Dragon,XB,2003,15549,0.01,0.0,0.0,0.0,0.02
Brooktown High: Senior Year,PSP,2007,10507,0.09,0.0,0.0,0.01,0.1
Brothers Conflict: Brilliant Blue,PSP,2013,14376,0.0,0.0,0.03,0.0,0.03
Brothers Conflict: Passion Pink,PSP,2012,14773,0.0,0.0,0.03,0.0,0.03
Brothers Conflict: Precious Baby,PSV,2017,16441,0.0,0.0,0.01,0.0,0.01
Brothers In Arms DS,DS,2007,13813,0.03,0.0,0.0,0.0,0.04
Brothers In Arms: D-Day,PSP,2006,4261,0.23,0.14,0.0,0.09,0.46
Brothers In Arms: Earned in Blood,PS2,2005,4254,0.38,0.01,0.0,0.06,0.46
Brothers In Arms: Earned in Blood,XB,2005,5749,0.23,0.07,0.0,0.01,0.31
Brothers In Arms: Road to Hill 30,PS2,2005,4266,0.38,0.01,0.0,0.06,0.46
Brothers In Arms: Road to Hill 30,XB,2005,3089,0.49,0.14,0.0,0.02,0.66
Brothers in Arms: Double Time,Wii,2008,9567,0.11,0.0,0.0,0.01,0.13
Brothers in Arms: Furious 4,PS3,2012,11687,0.01,0.05,0.0,0.02,0.08
Brothers in Arms: Hell's Highway,PC,2008,15026,0.0,0.02,0.0,0.0,0.02
Brothers in Arms: Hell's Highway,PS3,2008,2242,0.44,0.34,0.0,0.15,0.93
Brothers in Arms: Hell's Highway,X360,2008,2398,0.47000000000000003,0.31,0.0,0.09,0.87
Brothers: A Tale of Two Sons,PS4,2015,9513,0.03,0.08,0.0,0.02,0.13
Brothers: A Tale of Two Sons,XOne,2015,13860,0.03,0.01,0.0,0.0,0.04
Bruce Lee: Quest of the Dragon,XB,2002,5813,0.23,0.07,0.0,0.01,0.31
Brunswick Circuit Pro Bowling,N64,1999,12507,0.05,0.01,0.0,0.0,0.06
Brunswick Circuit Pro Bowling,PS,1998,8153,0.1,0.07,0.0,0.01,0.18
Brunswick Circuit Pro Bowling 2,PS,2000,10417,0.06,0.04,0.0,0.01,0.11
Brunswick Cosmic Bowling,Wii,2010,8187,0.17,0.0,0.0,0.01,0.18
Brunswick Pro Bowling,3DS,2011,9984,0.11,0.0,0.0,0.01,0.12
Brunswick Pro Bowling,PS2,2007,4840,0.2,0.15,0.0,0.05,0.4
Brunswick Pro Bowling,PS3,2010,7891,0.1,0.06,0.0,0.03,0.19
Brunswick Pro Bowling,PSP,2007,7411,0.19,0.0,0.0,0.02,0.21
Brunswick Pro Bowling,Wii,2007,4891,0.36,0.01,0.0,0.03,0.39
Brunswick Pro Bowling,X360,2010,4392,0.38,0.04,0.0,0.03,0.45
Brutal Legend,PS3,2009,2187,0.54,0.28,0.0,0.13,0.9500000000000001
Brutal Legend,X360,2009,2127,0.62,0.27,0.0,0.09,0.98
Brute Force,XB,2003,2490,0.62,0.18,0.01,0.03,0.8300000000000001
Bubble Bobble Double Shot,DS,2007,13966,0.03,0.0,0.0,0.0,0.04
Bubble Bobble Evolution,PSP,2006,14423,0.03,0.0,0.0,0.0,0.03
Bubble Bobble Revolution,DS,2005,13347,0.04,0.0,0.0,0.0,0.05
Bubble Bobble also featuring Rainbow Islands,PS,1995,12348,0.04,0.02,0.0,0.0,0.06
Bubble Bobble: Old & New,GBA,2002,12436,0.04,0.02,0.0,0.0,0.06
Bubsy 3D,PS,1996,7959,0.1,0.07,0.0,0.01,0.19
Buck Bumble,N64,1998,8592,0.13,0.03,0.0,0.0,0.16
Buck Fever,Wii,2009,9167,0.13,0.0,0.0,0.01,0.14
Buffy the Vampire Slayer,XB,2002,6973,0.18,0.05,0.0,0.01,0.23
Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,14771,0.02,0.01,0.0,0.0,0.03
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,8014,0.09,0.07,0.0,0.02,0.18
Buffy the Vampire Slayer: Chaos Bleeds,XB,2003,9947,0.09,0.03,0.0,0.0,0.12
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,14616,0.02,0.01,0.0,0.0,0.03
Bugriders: The Race of Kings,PS,1997,14998,0.01,0.01,0.0,0.0,0.02
Bugs Bunny & Taz: Time Busters,PS,2000,7489,0.11,0.08,0.0,0.01,0.21
Bugs Bunny: Lost in Time,PS,1999,4834,0.22,0.15,0.0,0.03,0.4
Build 'n Race,Wii,2009,11245,0.08,0.0,0.0,0.01,0.09
Build-A-Bear Workshop,DS,2007,2232,0.85,0.01,0.0,0.07,0.93
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,5151,0.34,0.0,0.0,0.03,0.37
Build-A-Bear Workshop: Welcome to Hugsville,DS,2010,8829,0.14,0.0,0.0,0.01,0.15
Builder's Block,PS,1999,16242,0.01,0.0,0.0,0.0,0.01
Bujingai: The Forsaken City,PS2,2003,10503,0.05,0.04,0.0,0.01,0.1
Bullet Girls,PSV,2014,12289,0.0,0.0,0.06,0.0,0.06
Bullet Girls 2,PSV,2016,13888,0.0,0.0,0.04,0.0,0.04
Bullet Soul: Tama Tamashii,X360,2011,16443,0.0,0.0,0.01,0.0,0.01
Bullet Witch,X360,2006,10614,0.07,0.01,0.02,0.01,0.1
Bulletstorm,PC,2011,8618,0.07,0.07,0.0,0.02,0.16
Bulletstorm,PS3,2011,3803,0.23,0.2,0.01,0.08,0.53
Bulletstorm,X360,2011,2027,0.61,0.32,0.01,0.08,1.02
Bully,PS2,2006,2215,0.75,0.03,0.04,0.12,0.9400000000000001
Bully: Scholarship Edition,PC,2008,14797,0.0,0.02,0.0,0.0,0.03
Bully: Scholarship Edition,Wii,2008,3850,0.17,0.29,0.0,0.06,0.52
Bully: Scholarship Edition,X360,2008,1924,0.53,0.4,0.03,0.11,1.07
Bump 'n' Jump,2600,1982,4896,0.37,0.02,0.0,0.0,0.39
Bunmei Haruka: Aoiza Ibunroku,PSP,2011,14979,0.0,0.0,0.02,0.0,0.02
Bunmei Kaika: Aoiza Ibunroku Saien,PSP,2012,16217,0.0,0.0,0.01,0.0,0.01
Burger Island,DS,2008,8628,0.15,0.0,0.0,0.01,0.16
Burger Island,Wii,2009,8869,0.14,0.0,0.0,0.01,0.15
BurgerTime,2600,1981,3405,0.55,0.03,0.0,0.01,0.59
Burning Rangers,SAT,1998,12696,0.0,0.0,0.06,0.0,0.06
Burning Road,PS,1996,9845,0.07,0.05,0.0,0.01,0.12
Burnout,GC,2002,5847,0.23,0.06,0.0,0.01,0.30000000000000004
Burnout,PS2,2001,2768,0.36,0.28,0.0,0.1,0.74
Burnout,XB,2002,9623,0.09,0.03,0.0,0.0,0.13
Burnout 2: Point of Impact,GC,2003,8738,0.12,0.03,0.0,0.0,0.15
Burnout 2: Point of Impact,PS2,2002,2449,0.42,0.32,0.0,0.11,0.85
Burnout 2: Point of Impact,XB,2003,6832,0.18,0.05,0.0,0.01,0.24
Burnout 3: Takedown,PS2,2004,561,1.23,1.11,0.0,0.34,2.68
Burnout 3: Takedown,XB,2004,1514,0.84,0.43,0.0,0.04,1.31
Burnout Dominator,PSP,2007,4292,0.02,0.38,0.01,0.06,0.46
Burnout Legends,DS,2005,8109,0.15,0.02,0.0,0.01,0.18
Burnout Legends,PSP,2005,2444,0.7000000000000001,0.06,0.0,0.09,0.85
Burnout Paradise,PS3,2008,865,1.01,0.64,0.02,0.30000000000000004,1.97
Burnout Paradise,X360,2008,1427,0.63,0.58,0.01,0.15,1.3599999999999999
Burnout Paradise: The Ultimate Box,PC,2009,10721,0.0,0.08,0.0,0.01,0.1
Burnout Paradise: The Ultimate Box,PS3,2009,11095,0.0,0.06,0.01,0.02,0.09
Burnout Paradise: The Ultimate Box,X360,2009,13823,0.0,0.03,0.0,0.0,0.04
Burnout Revenge,PS2,2005,2301,0.75,0.03,0.0,0.12,0.9
Burnout Revenge,X360,2006,3934,0.42,0.05,0.0,0.04,0.51
Burnout Revenge,XB,2005,3788,0.32,0.19,0.0,0.01,0.53
Burstrick: Wake Boarding!!,PS,2000,6291,0.15,0.1,0.0,0.02,0.27
Bus Simulator 16,PC,2016,14969,0.0,0.02,0.0,0.0,0.02
Bushido Blade,PS,1997,1749,0.39,0.27,0.43,0.08,1.16
Bushido Blade 2,PS,1998,2994,0.25,0.17,0.22,0.04,0.68
Busou Renkin: Youkoso Papillon Park e,PS2,2007,15826,0.0,0.0,0.02,0.0,0.02
Busou Shinki: Battle Masters,PSP,2010,11835,0.0,0.0,0.07,0.0,0.07
Busou Shinki: Battle Masters Mk. 2,PSP,2011,10412,0.0,0.0,0.11,0.0,0.11
Bust A Groove,PS,1998,3724,0.09,0.06,0.35000000000000003,0.04,0.54
Bust A Groove 2,PS,1999,6519,0.04,0.03,0.18,0.02,0.26
Bust-A-Bloc,PS2,2002,12907,0.0,0.0,0.05,0.0,0.05
Bust-A-Move,3DO,1994,14999,0.0,0.0,0.02,0.0,0.02
Bust-A-Move '99,N64,1998,12515,0.05,0.01,0.0,0.0,0.06
Bust-A-Move '99,PS,1997,5601,0.18,0.12,0.0,0.02,0.32
Bust-A-Move 2 Arcade Edition,N64,1997,11477,0.06,0.02,0.0,0.0,0.08
Bust-A-Move 2 Arcade Edition,PS,1995,7683,0.11,0.07,0.0,0.01,0.2
Bust-A-Move 3000,GC,2003,16587,0.01,0.0,0.0,0.0,0.01
Bust-A-Move 4,PS,1998,7188,0.12,0.08,0.0,0.01,0.22
Bust-A-Move Bash!,Wii,2007,8696,0.13,0.01,0.0,0.01,0.16
Bust-A-Move DS,DS,2005,10262,0.08,0.02,0.0,0.01,0.11
Bust-A-Move Deluxe,PSP,2006,9246,0.13,0.0,0.0,0.01,0.14
Bust-A-Move Universe,3DS,2011,5717,0.08,0.15,0.06,0.03,0.31
Buster Bros. Collection,PS,1997,11755,0.04,0.03,0.0,0.0,0.07
Busy Scissors,DS,2010,12451,0.06,0.0,0.0,0.0,0.06
Busy Scissors,Wii,2010,11209,0.08,0.0,0.0,0.0,0.09
Butt Ugly Martians: B.K.M. Battles,GBA,2002,6759,0.18,0.07,0.0,0.0,0.25
Butt-Ugly Martians: Zoom or Doom!,PS2,2002,15301,0.01,0.01,0.0,0.0,0.02
Buzz Lightyear of Star Command,PS,2000,3236,0.35000000000000003,0.24,0.0,0.04,0.63
Buzz! Brain of the UK,PS3,2009,8326,0.0,0.15,0.0,0.02,0.17
Buzz! Junior: Jungle Party,PS2,2006,4750,0.2,0.16,0.0,0.05,0.41000000000000003
Buzz! Junior: RoboJam,PS2,2007,7118,0.11,0.09,0.0,0.03,0.23
Buzz! Master Quiz,PSP,2008,2397,0.2,0.44,0.0,0.23,0.87
Buzz! Quiz TV,PS3,2008,2302,0.28,0.48,0.0,0.14,0.9
Buzz! Quiz World,PS3,2009,2223,0.16,0.58,0.0,0.2,0.93
Buzz! The BIG Quiz,PS2,2006,1274,0.0,1.1,0.0,0.39,1.49
Buzz! The Hollywood Quiz,PS2,2007,2637,0.17,0.0,0.0,0.61,0.78
Buzz! The Mega Quiz,PS2,2007,2366,0.32,0.06,0.0,0.5,0.88
Buzz! The Music Quiz,PS2,2005,1147,0.0,1.18,0.0,0.43,1.6099999999999999
Buzz! The Schools Quiz,PS2,2008,7522,0.0,0.02,0.0,0.19,0.2
Buzz! The Ultimate Music Quiz,PS3,2010,5427,0.0,0.25,0.0,0.08,0.34
C.O.P.: The Recruit,DS,2009,11424,0.05,0.02,0.0,0.01,0.08
C.O.R.E.,DS,2009,13970,0.03,0.0,0.0,0.0,0.04
C: The Contra Adventure,PS,1998,12224,0.04,0.02,0.0,0.0,0.07
CID The Dummy,PSP,2009,14756,0.02,0.0,0.0,0.0,0.03
CID The Dummy,Wii,2009,14815,0.02,0.0,0.0,0.0,0.03
CIMA: The Enemy,GBA,2003,14499,0.02,0.01,0.0,0.0,0.03
CMT Presents: Karaoke Revolution Country,PS2,2006,12663,0.03,0.02,0.0,0.01,0.06
CSI: 3 Dimensions of Murder,PS2,2007,9000,0.07,0.06,0.0,0.02,0.14
CSI: Crime Scene Investigation,XB,2004,9943,0.09,0.03,0.0,0.0,0.12
CSI: Dark Motives,DS,2007,11807,0.05,0.01,0.0,0.01,0.07
CSI: Deadly Intent,Wii,2009,6019,0.13,0.13,0.0,0.03,0.29
CSI: Deadly Intent,X360,2009,7485,0.1,0.08,0.0,0.02,0.21
CSI: Deadly Intent - The Hidden Cases,DS,2009,5265,0.16,0.16,0.0,0.04,0.35000000000000003
CSI: Fatal Conspiracy,PC,2010,13793,0.0,0.03,0.0,0.01,0.04
CSI: Fatal Conspiracy,PS3,2010,7921,0.11,0.05,0.0,0.02,0.19
CSI: Fatal Conspiracy,Wii,2010,7209,0.12,0.08,0.0,0.02,0.22
CSI: Fatal Conspiracy,X360,2010,8357,0.11,0.04,0.0,0.01,0.17
CSI: Hard Evidence,Wii,2008,2340,0.36,0.43,0.0,0.1,0.89
CSI: Hard Evidence,X360,2007,10696,0.07,0.02,0.0,0.01,0.1
CSI: Unsolved!,DS,2010,7612,0.13,0.06,0.0,0.02,0.2
CT Special Forces,GBA,2002,14253,0.02,0.01,0.0,0.0,0.03
CT Special Forces 2: Back in the Trenches,GBA,2003,16284,0.01,0.0,0.0,0.0,0.01
CV Casting Voice,PS3,2014,15425,0.0,0.0,0.02,0.0,0.02
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,15707,0.01,0.0,0.0,0.0,0.02
Cabela's Adventure Camp,PS3,2011,10325,0.06,0.03,0.0,0.02,0.11
Cabela's Adventure Camp,Wii,2011,8064,0.15,0.02,0.0,0.01,0.18
Cabela's Adventure Camp,X360,2011,10568,0.07,0.02,0.0,0.01,0.1
Cabela's African Safari,PSP,2006,13336,0.04,0.0,0.0,0.0,0.05
Cabela's African Safari,X360,2006,9214,0.13,0.0,0.0,0.01,0.14
Cabela's Alaskan Adventure,X360,2006,9485,0.12,0.0,0.0,0.01,0.13
Cabela's Big Game Hunter,GBA,2002,10937,0.07,0.02,0.0,0.0,0.09
Cabela's Big Game Hunter,PS2,2002,1356,0.7000000000000001,0.54,0.0,0.18,1.42
Cabela's Big Game Hunter (2008),PS2,2007,7655,0.1,0.08,0.0,0.03,0.2
Cabela's Big Game Hunter (2008),Wii,2007,3210,0.58,0.0,0.0,0.05,0.63
Cabela's Big Game Hunter (2008),X360,2007,12503,0.06,0.0,0.0,0.0,0.06
Cabela's Big Game Hunter 2005 Adventures,GBA,2004,12803,0.04,0.01,0.0,0.0,0.06
Cabela's Big Game Hunter 2005 Adventures,GC,2004,12200,0.05,0.01,0.0,0.0,0.07
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,3577,0.28,0.21,0.0,0.07,0.56
Cabela's Big Game Hunter 2005 Adventures,XB,2004,8098,0.13,0.04,0.0,0.01,0.18
Cabela's Big Game Hunter 2010,PS3,2009,4821,0.37,0.0,0.0,0.03,0.4
Cabela's Big Game Hunter 2010,Wii,2009,1050,1.58,0.0,0.0,0.12,1.7000000000000002
Cabela's Big Game Hunter 2010,X360,2009,6416,0.25,0.0,0.0,0.02,0.27
Cabela's Big Game Hunter 2012,PS3,2011,6985,0.17,0.03,0.0,0.03,0.23
Cabela's Big Game Hunter 2012,Wii,2011,5040,0.34,0.02,0.0,0.02,0.38
Cabela's Big Game Hunter 2012,X360,2011,6204,0.24,0.02,0.0,0.02,0.28
Cabela's Big Game Hunter: Hunting Party,X360,2011,8252,0.16,0.0,0.0,0.01,0.17
Cabela's Big Game Hunter: Pro Hunts,PS3,2014,14486,0.03,0.0,0.0,0.0,0.03
Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,15353,0.02,0.0,0.0,0.0,0.02
Cabela's Big Game Hunter: Pro Hunts,X360,2014,14767,0.02,0.0,0.0,0.0,0.03
Cabela's Big Game Hunter: Ultimate Challenge,PS,2001,7317,0.12,0.08,0.0,0.01,0.21
Cabela's Dangerous Hunts,PS2,2003,1732,0.5700000000000001,0.45,0.0,0.15,1.17
Cabela's Dangerous Hunts,XB,2003,5286,0.26,0.08,0.0,0.01,0.35000000000000003
