,Name,Platform,Play Score,Game Score,Critic Score
324,Professor Layton and the Azran Legacy,3DS,8.74,9.49,7.98
325,Ordia,iOS,9.04,9.49,8.58
326,Enter the Gungeon,PC,8.89,9.49,8.28
327,Yakuza 4 Remastered,PS4,8.57,9.49,7.65
328,Refunct,PC,8.39,9.49,7.29
329,Dragon Ball Xenoverse,Xbox 360,8.29,9.49,7.09
330,Professor Layton vs. Phoenix Wright: Ace Attorney,3DS,8.69,9.49,7.9
331,Shadow Tactics: Blades of the Shogun,PC,8.82,9.49,8.15
332,Kingdom Rush Origins HD,iOS,8.83,9.49,8.18
333,ISLANDERS,PC,8.71,9.49,7.94
334,The Last of Us,PS3,9.45,9.49,9.42
335,Besiege,PC,8.47,9.49,7.46
336,Ori and the Blind Forest,PC,9.14,9.49,8.8
337,Danganronpa 1 & 2 Reload,PS4,8.83,9.49,8.18
338,Monster Hunter Generations,3DS,8.96,9.48,8.43
339,Watch Dogs,Xbox 360,8.77,9.48,8.05
340,Supreme Commander: Forged Alliance,PC,8.72,9.48,7.96
341,Rolando: Royal Edition,iOS,8.67,9.48,7.87
342,Black Mesa,PC,8.84,9.48,8.2
343,Hatsune Miku: Project DIVA f,PS Vita,8.76,9.48,8.04
344,Naruto Shippuden: Ultimate Ninja Storm Revolution,Xbox 360,8.42,9.48,7.35
345,S.T.A.L.K.E.R.: Call of Pripyat,PC,8.61,9.48,7.75
346,Life is Strange,PS4,8.58,9.48,7.69
347,Super Smash Bros. Ultimate,Switch,9.31,9.48,9.15
348,Cytus II,iOS,8.96,9.48,8.43
349,Far Cry 4,Xbox 360,8.85,9.48,8.22
350,NBA 2K14,Xbox 360,8.79,9.48,8.09
351,War Tortoise,iOS,8.43,9.48,7.39
352,Dynasty Warriors: Gundam Reborn,PS3,7.91,9.48,6.35
353,The Talos Principle,PC,8.96,9.48,8.44
354,Crazy Machines 3,PC,8.49,9.48,7.49
355,SteamWorld Dig 2,PC,8.94,9.48,8.39
356,Age of Empires II: HD Edition,PC,8.24,9.48,7.0
357,Oddmar,iOS,9.23,9.48,8.97
358,Hatsune Miku: Project DIVA F 2nd,PS3,8.69,9.48,7.91
359,Duet Game,iOS,8.83,9.48,8.18
360,The Elder Scrolls IV: Oblivion,Xbox 360,9.01,9.48,8.55
361,Borderlands 2,Xbox 360,9.09,9.48,8.7
362,Mushihimesama,PC,8.85,9.48,8.22
363,Borderlands 2,PC,9.05,9.48,8.62
364,Destiny,Xbox 360,8.41,9.48,7.34
365,Earth Defense Force 4.1: The Shadow of New Despair,PC,8.51,9.48,7.54
366,Fallout 3,Xbox 360,8.95,9.48,8.43
367,Postal II,PC,7.66,9.48,5.84
368,Tangle Tower,iOS,8.75,9.48,8.03
369,Cytus,iOS,8.73,9.47,7.99
370,The Lab,PC,8.4,9.47,7.33
371,Mass Effect 2,Xbox 360,9.44,9.47,9.41
