Name,Platform,Play Score,Game Score,Critic Score
3D Streets of Rage 2,3DS,9.09,9.62,8.57
Muse Dash,iOS,8.64,9.61,7.67
Skullgirls 2nd Encore,PS4,8.85,9.61,8.09
Resident Evil 2,PS4,9.29,9.61,8.97
Hollow Knight Voidheart Edition,PS4,8.84,9.61,8.07
Rhythm Heaven Megamix,3DS,8.83,9.61,8.05
Beat Saber,PC,8.42,9.61,7.23
Professor Layton and the Miracle Mask,3DS,8.87,9.61,8.14
The Pedestrian,PC,8.71,9.61,7.82
Pokemon Alpha Sapphire,3DS,8.91,9.61,8.22
Journey,PS3,9.36,9.61,9.11
Pokemon Omega Ruby,3DS,8.93,9.60,8.26
BTS WORLD,Android,8.77,9.60,7.93
DATA WING,Android,8.83,9.60,8.06
Bloons TD 6,Android,8.63,9.60,7.66
The Room,Android,9.01,9.60,8.42
Kingdom Rush Frontiers,Android,8.81,9.60,8.02
Blendoku 2,Android,8.95,9.60,8.31
Resident Evil 4,PS4,8.76,9.60,7.93
PewDiePie: Legend of the Brofist,Android,8.12,9.60,6.63
Stardew Valley,Android,8.93,9.60,8.26
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,Switch,9.26,9.60,8.91
Able Black,iOS,8.47,9.60,7.33
Risk of Rain 2,PC,8.98,9.60,8.37
Stardew Valley,PS4,8.92,9.60,8.24
Deep Rock Galactic,PC,8.93,9.60,8.26
Oxygen Not Included,PC,8.83,9.60,8.06
Pokémon Sword,Switch,8.81,9.60,8.03
Pokémon Shield,Switch,8.82,9.60,8.04
Persona 4 Golden,PC,9.01,9.60,8.43
Forza Motorsport 7,Xbox One,9.06,9.60,8.52
Tap Titans,Android,8.14,9.60,6.68
Defense Grid: The Awakening,PC,8.46,9.60,7.33
Rusty Lake: Roots,Android,8.80,9.60,8.01
Super Hexagon,Android,9.02,9.59,8.44
Through the Ages,Android,8.94,9.59,8.28
Dishonored,PC,9.20,9.59,8.81
PewDiePie's Tuber Simulator,iOS,8.44,9.59,7.29
Doki Doki Literature Club!,PC,8.76,9.59,7.92
Kingdom Rush Origins,Android,8.95,9.59,8.30
Unheard,PC,8.26,9.59,6.93
The House of Da Vinci 2,Android,8.69,9.59,7.78
Axiom Verge,Wii U,8.79,9.59,8.00
Hollow Knight,PC,9.07,9.59,8.56
Beholder,Android,8.76,9.59,7.93
Dead Cells,PC,9.15,9.59,8.71
Forza Horizon 4,PC,9.15,9.59,8.71
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,8.81,9.59,8.02
Duck Game,PC,8.75,9.59,7.91
GRIS,PC,9.00,9.59,8.42
Monster Train,PC,8.87,9.59,8.15
