Name,Platform,Play Score,Game Score,Critic Score
Brothers: A Tale of Two Sons,PS3,8.50,8.91,8.09
Farm Heroes Saga,iOS,8.11,8.91,7.30
Ord.,iOS,8.07,8.91,7.23
Trine 3: The Artifacts of Power,PS4,7.63,8.91,6.36
Sleeping Dogs: Definitive Edition,Xbox One,8.29,8.91,7.68
FIFA Mobile Football,iOS,7.84,8.91,6.76
L.A. Noire,Xbox One,8.31,8.91,7.70
Rocksmith 2014,PC,8.53,8.91,8.15
BioShock 2,PS3,8.63,8.91,8.36
Just Dance 2018,Wii U,7.99,8.91,7.08
LOST ORBIT,PS4,8.24,8.91,7.58
TxK,PS Vita,8.59,8.91,8.26
Rebuild 3: Gangs of Deadsville,iOS,8.65,8.91,8.39
ABZÛ,PS4,8.48,8.91,8.05
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,PS4,7.94,8.91,6.97
Mega Man 11,PS4,8.45,8.91,7.99
Disgaea 2 PC,PC,8.22,8.91,7.54
LittleBigPlanet Karting,PS3,8.08,8.91,7.26
Gravity Ghost,PC,8.22,8.91,7.54
10000000,Android,8.37,8.91,7.82
One Piece: Unlimited World RED,PS Vita,8.17,8.91,7.44
Wizard of Legend,PS4,8.07,8.91,7.24
Onimusha: Warlords,Xbox One,8.18,8.91,7.45
Odd Bot Out,iOS,8.48,8.91,8.05
Kingdom: New Lands,iOS,8.61,8.90,8.32
NBA 2K14,PS4,8.43,8.90,7.95
Moving Out,Switch,8.22,8.90,7.53
Sports Champions 2,PS3,8.02,8.90,7.13
Command & Conquer: Rivals PVP,iOS,8.39,8.90,7.87
The Ensign,iOS,8.35,8.90,7.80
Afterparty,PS4,8.13,8.90,7.36
Pokemon Ultra Sun,3DS,8.65,8.90,8.40
Kathy Rain,iOS,8.68,8.90,8.47
Sheltered,PS4,7.87,8.90,6.83
Turbo Dismount,iOS,8.50,8.90,8.10
Persona 5: Dancing In Starlight,PS4,7.99,8.90,7.08
Dynasty Warriors 8,Xbox 360,7.84,8.90,6.78
Krosmaga,iOS,7.93,8.90,6.97
Nonstop Knight 2,iOS,8.11,8.90,7.33
BUTCHER,PS4,8.01,8.90,7.13
Don't Starve: Pocket Edition,iOS,8.72,8.90,8.55
Yooka-Laylee and the Impossible Lair,Switch,8.44,8.90,7.99
Job Simulator,PC,8.00,8.90,7.09
Implosion - Never Lose Hope,iOS,8.83,8.90,8.76
Company of Heroes: Tales of Valor,PC,7.92,8.90,6.94
Romancing SaGa 3,PS4,8.15,8.90,7.39
Florence,iOS,8.44,8.90,7.97
QuestLord,Android,8.21,8.90,7.53
Apotheon,PC,8.48,8.90,8.07
Fairy Fencer F,PC,7.89,8.90,6.88
Transformers: Earth Wars,iOS,8.31,8.90,7.72
Dead Man's Draw,iOS,8.33,8.90,7.75
SOMA,Xbox One,8.35,8.90,7.79
NHL 14,PS3,8.23,8.90,7.57
Botanicula,iOS,8.73,8.90,8.55
Kick Ass Commandos,iOS,8.65,8.90,8.40
Just Dance Now,iOS,8.41,8.90,7.93
Valkyrie Drive: Bhikkhuni,PS Vita,8.09,8.90,7.29
Sound Shapes,PS4,8.59,8.90,8.28
House Flipper,PC,8.00,8.90,7.09
MotoGP 19,PS4,8.27,8.90,7.64
Dawn of Titans,iOS,8.18,8.90,7.45
The LEGO Movie 2 Videogame,PS4,7.52,8.90,6.15
Praetorians - HD Remaster,PC,7.74,8.90,6.59
Skylanders: Trap Team,PS3,8.44,8.90,7.99
Alice: Madness Returns,PS3,7.96,8.90,7.02
Men of War: Assault Squad 2,PC,7.42,8.90,5.95
Just Dance 2017,Wii U,8.15,8.90,7.40
Depth,PC,7.86,8.89,6.82
Saints Row 2,PS3,8.35,8.89,7.80
Assetto Corsa,PC,8.53,8.89,8.17
Chasm,PS4,7.81,8.89,6.72
Planet Coaster,PC,8.62,8.89,8.34
Death Come True,Android,8.34,8.89,7.78
Rez Infinite,PC,8.49,8.89,8.09
Gal*Gun: Double Peace,PS4,7.77,8.89,6.64
Resident Evil: Revelations,PS3,8.21,8.89,7.52
Overcooked! 2,PC,8.38,8.89,7.86
The Blackout Club,PS4,7.88,8.89,6.86
Sniper Elite V2 Remastered,PS4,7.70,8.89,6.51
Blasters of the Universe,PS4,8.04,8.89,7.19
Sniper Elite 4,PS4,8.33,8.89,7.77
Age of Mythology: Extended Edition,PC,8.02,8.89,7.15
Doomsday Clicker,iOS,8.16,8.89,7.43
Temple Run 2,iOS,8.48,8.89,8.06
Splatoon 2,Switch,8.60,8.89,8.30
FIFA 14,PS4,8.60,8.89,8.30
Dead Venture,iOS,8.48,8.89,8.07
Bullet Force,iOS,7.99,8.89,7.08
Glitch Dash,iOS,8.36,8.89,7.83
Rogue Legacy,iOS,8.78,8.89,8.67
Sonic Mania Plus,PS4,8.67,8.89,8.45
Daddy Long Legs,iOS,7.97,8.89,7.06
The Elder Scrolls V: Skyrim,PS3,8.80,8.89,8.72
Unpossible,iOS,8.26,8.89,7.63
NBA 2K15,Xbox 360,8.17,8.89,7.44
Castle of Illusion starring Mickey Mouse,PS3,7.99,8.89,7.09
Grim Fandango Remastered,PC,8.48,8.89,8.08
BONEWORKS,PC,8.18,8.89,7.46
Sonic Generations,PS3,8.35,8.89,7.80
Memoria,PC,8.27,8.89,7.64
Inside My Radio,PC,8.06,8.89,7.23
Sid Meier's Civilization IV,PC,8.76,8.89,8.63
Oreshika: Tainted Bloodlines,PS Vita,8.25,8.89,7.61
"Warhammer 40,000: Dawn of War II – Retribution",PC,8.39,8.89,7.89
Hob,PS4,8.30,8.89,7.71
Forgotton Anne,PS4,8.32,8.89,7.76
Just Dance 2016,PS4,8.04,8.89,7.20
Gears Tactics,PC,8.53,8.89,8.17
Samurai Warriors Chronicles 3,PS Vita,7.88,8.89,6.88
Hoppenhelm,iOS,8.50,8.89,8.12
Darkest Dungeon,PC,8.68,8.89,8.47
Golf With Your Friends,PC,8.03,8.89,7.17
Mother Russia Bleeds,PS4,8.00,8.89,7.12
Doki-Doki Universe,PS3,7.86,8.89,6.83
Pico Tanks,iOS,7.98,8.89,7.08
Code Vein,PC,7.98,8.89,7.08
Pac-Man Museum,PS3,7.78,8.89,6.68
Rise of Kingdoms,iOS,8.20,8.89,7.51
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,PS3,8.43,8.89,7.98
Circa Infinity,PC,8.17,8.89,7.46
Spec Ops: The Line,PS3,8.41,8.88,7.93
CivCrafter,iOS,8.25,8.88,7.62
Toukiden: The Age of Demons,PS Vita,8.05,8.88,7.22
Kingsway,PC,8.25,8.88,7.63
Slender: The Arrival,PS4,7.85,8.88,6.81
Lego Marvel Avengers,3DS,7.83,8.88,6.77
Riptide GP2,iOS,8.54,8.88,8.19
Perfect World Mobile,iOS,8.27,8.88,7.67
Ninjin: Clash of Carrots,PS4,7.71,8.88,6.55
Star Wars: Knights of the Old Republic,PC,8.55,8.88,8.23
Banner of the Maid,PC,7.92,8.88,6.96
Arena Allstars,iOS,8.36,8.88,7.83
Cars 3: Driven to Win,Switch,7.75,8.88,6.63
FAR: Lone Sails,PS4,8.35,8.88,7.82
Mulaka,PC,8.14,8.88,7.39
The Frostrune,PC,8.07,8.88,7.25
The LEGO Ninjago Movie Video Game,Xbox One,8.16,8.88,7.44
LEGO Marvel Super Heroes 2,PS4,8.04,8.88,7.19
Prey,PC,8.46,8.88,8.03
Mad Max,PS4,8.07,8.88,7.25
Beat Stomper,iOS,8.11,8.88,7.33
Metal Gear Solid V: The Phantom Pain,PC,8.98,8.88,9.08
Bleak Sword,iOS,8.48,8.88,8.08
Gal*Gun 2,PS4,7.38,8.88,5.88
Fire Emblem Warriors,3DS,7.98,8.88,7.07
Saints Row IV,PS3,8.40,8.88,7.92
Dungeon of the Endless,PC,8.30,8.88,7.73
Dragon Hills 2,iOS,8.39,8.88,7.90
Dragon Quest Heroes II,PS4,8.26,8.88,7.65
If Found...,PC,8.38,8.88,7.89
Epic Seven,iOS,8.45,8.88,8.02
Return of the Obra Dinn,Xbox One,8.54,8.88,8.21
The Escapists,PC,8.21,8.88,7.53
SIMULACRA 2,iOS,8.07,8.88,7.27
Dengeki Bunko: Fighting Climax,PS Vita,8.03,8.88,7.18
Astroneer,PC,8.09,8.88,7.31
Lego Marvel Avengers,PS4,7.99,8.88,7.10
Samurai Warriors 4: Empires,PS Vita,8.03,8.88,7.17
WORLDEND SYNDROME,PS4,8.01,8.88,7.14
Dragon Ball Xenoverse 2,Switch,8.23,8.88,7.59
Pixel Ripped 1995,PS4,8.43,8.88,7.99
Eastshade,PC,8.30,8.88,7.72
One Piece: Pirate Warriors 4,PC,8.07,8.88,7.27
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PS3,7.97,8.88,7.07
MotoGP 19,Switch,8.22,8.88,7.57
Grand Theft Auto IV,PS3,8.93,8.88,8.98
Subnautica,Xbox One,8.52,8.88,8.17
Just Dance 2014,PS3,8.22,8.88,7.57
Retro City Rampage,PS Vita,8.17,8.88,7.47
Hatsune Miku: Project DIVA X,PS Vita,8.26,8.88,7.65
Transformers: Fall of Cybertron,PS3,8.24,8.88,7.60
Autonauts,PC,8.17,8.88,7.47
Conduct THIS!,iOS,8.50,8.87,8.13
Pool Nation,PS3,8.24,8.87,7.61
Hob,PC,8.18,8.87,7.49
Ultra Street Fighter IV,PC,8.53,8.87,8.20
No Way Home,iOS,8.48,8.87,8.08
Warhammer Quest 2,iOS,8.35,8.87,7.83
Rime,PC,8.24,8.87,7.61
Conquest of Elysium 4,PC,8.29,8.87,7.71
Tinertia,PC,8.03,8.87,7.18
Where Shadows Slumber,iOS,8.39,8.87,7.92
The Binding of Isaac: Rebirth,PS Vita,8.51,8.87,8.15
Darksiders II,PC,8.50,8.87,8.13
SUPERBEAT: XONiC,PS4,8.24,8.87,7.61
Outlast 2,PC,8.23,8.87,7.58
KINGDOM HEARTS Uχ Dark Road,iOS,8.14,8.87,7.40
The Missing: JJ Macfield and the Island of Memories,PC,8.23,8.87,7.59
Banished,PC,8.09,8.87,7.30
Halo Wars: Definitive Edition,PC,8.19,8.87,7.51
BattleHand,iOS,8.17,8.87,7.47
Odin Sphere: Leifthrasir,PS3,8.51,8.87,8.14
The Swapper,PS3,8.58,8.87,8.29
Ar nosurge Plus: Ode to an Unborn Star,PS Vita,8.16,8.87,7.45
Retro City Rampage,PS3,8.06,8.87,7.25
Knack 2,PS4,7.97,8.87,7.08
River City Girls,PS4,8.28,8.87,7.68
Wizards and Wagons,iOS,8.58,8.87,8.29
Foul Play,PS Vita,7.84,8.87,6.82
Korix,PS4,8.07,8.87,7.26
Divinity: Original Sin Enhanced Edition,PC,8.60,8.87,8.32
Yakuza 4,PS3,8.27,8.87,7.67
Uncharted 3: Drake's Deception,PS3,9.02,8.87,9.18
SUPERHOT,PS4,8.44,8.87,8.01
Shoot Many Robots,PC,7.85,8.87,6.83
Middle-earth: Shadow of War,PS4,8.47,8.87,8.06
-KLAUS-,PS4,7.95,8.87,7.04
Madden NFL 25,PS3,8.25,8.87,7.64
Lara Croft GO,PS Vita,8.17,8.87,7.48
Freedom Wars,PS Vita,8.21,8.87,7.54
Puyo Puyo Tetris,Switch,8.52,8.87,8.18
Redungeon,iOS,8.57,8.87,8.27
Red Faction: Guerrilla,PC,8.42,8.87,7.97
Persephone,Android,8.14,8.87,7.41
God Eater 3,Switch,8.10,8.87,7.34
SteamWorld Quest: Hand of Gilgamech,PC,8.30,8.87,7.74
Skulls of the Shogun,PC,8.53,8.87,8.20
Nitroplus Blasterz: Heroines Infinite Duel,PS4,7.93,8.87,6.99
Turok  Remastered,Xbox One,7.96,8.87,7.06
Ragnarok Odyssey ACE,PS3,7.85,8.87,6.83
Everybody's Golf,PS4,8.32,8.87,7.77
Trine 4: The Nightmare Prince,PS4,8.45,8.87,8.04
Stockpile,Android,8.20,8.87,7.53
Far Cry 3,PC,8.71,8.87,8.55
Nidhogg 2,PS4,8.13,8.86,7.40
Voodoo Vince: Remastered,Xbox One,7.92,8.86,6.98
Strange Brigade,PS4,7.99,8.86,7.11
Toy Story 3: The Video Game,PS3,8.14,8.86,7.41
Battlefield: Bad Company 2,PS3,8.66,8.86,8.46
Corpse Party,PC,7.98,8.86,7.11
Iris.Fall,PC,7.98,8.86,7.09
Hello Neighbor,Switch,7.28,8.86,5.69
Among the Stars,Android,8.26,8.86,7.66
The Witcher 2: Assassins of Kings,PC,8.68,8.86,8.50
Stormbound,iOS,8.36,8.86,7.87
Hungry Shark World,PS4,7.63,8.86,6.39
Team Sonic Racing,PS4,8.10,8.86,7.35
Paperama,iOS,8.32,8.86,7.79
Aragami,PS4,8.09,8.86,7.32
Tiny Dice Dungeon,iOS,8.50,8.86,8.13
Death end re;Quest,PS4,7.95,8.86,7.05
Jetpack Joyride,iOS,8.66,8.86,8.46
GT Racing 2: The Real Car Experience,iOS,8.47,8.86,8.08
Family Guy- Another Freakin' Mobile Game,iOS,7.46,8.86,6.07
Imago - Transformative Puzzle Game,iOS,8.53,8.86,8.21
Call of Duty 2,PC,8.46,8.86,8.06
Gravity Falls: Legend of the Gnome Gemulets,3DS,7.21,8.86,5.57
Mario Party: The Top 100,3DS,7.47,8.86,6.07
Shooty Fruity,PS4,8.06,8.86,7.26
Last Day On Earth: Zombie Survival,iOS,8.24,8.86,7.63
Lineage 2: Revolution,iOS,8.21,8.86,7.55
Fire Pro Wrestling World,PC,8.18,8.86,7.51
Yoku's Island Express,Xbox One,8.55,8.86,8.23
Seabeard,iOS,7.96,8.86,7.05
Firewatch,PS4,8.35,8.86,7.83
Five Nights at Freddy's 3,iOS,8.21,8.86,7.55
Papo & Yo,PS3,8.02,8.86,7.17
Golfy Bird,iOS,8.47,8.86,8.08
Just Dance 2017,PS4,8.07,8.86,7.28
LEGO Marvel Super Heroes,PS4,8.34,8.86,7.82
Farm Punks,iOS,7.59,8.86,6.33
Despicable Me: Minion Rush,iOS,8.23,8.86,7.60
Ristar,iOS,7.96,8.86,7.06
TRON RUN/r,PS4,7.96,8.86,7.06
Mario Tennis Aces,Switch,8.22,8.86,7.58
Battlezone Gold Edition,PS4,7.84,8.86,6.82
Omega Quintet,PS4,7.53,8.86,6.20
Prey,PS4,8.47,8.86,8.08
World of Final Fantasy Maxima,Xbox One,8.21,8.86,7.56
Endless Boss Fight,iOS,7.88,8.86,6.90
Lost Ember,PC,8.20,8.86,7.55
RAD,PS4,8.19,8.86,7.52
Assassin's Creed III,PS3,8.66,8.86,8.47
Super Mega Baseball,PS4,8.22,8.86,7.58
Batman: Arkham Origins,PS3,8.23,8.86,7.60
Lost in Harmony,iOS,8.29,8.85,7.72
The Magic Circle: Gold Edition,PS4,8.10,8.85,7.34
LEGO Jurassic World,PS4,8.08,8.85,7.31
Wolfenstein: The New Order,PC,8.35,8.85,7.85
Infliction: Extended Cut,PS4,7.74,8.85,6.62
LEGO Jurassic World,3DS,7.95,8.85,7.05
Train Valley,PC,8.01,8.85,7.17
Marginalia Hero,iOS,8.13,8.85,7.41
Mmm Fingers,iOS,8.22,8.85,7.59
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PC,8.33,8.85,7.81
Mad Bullets,iOS,8.26,8.85,7.67
Blazing Chrome,PS4,8.21,8.85,7.57
Angry Video Game Nerd Adventures,PC,7.96,8.85,7.06
Return to Castle Wolfenstein,PC,8.51,8.85,8.16
LEGO Batman 3: Beyond Gotham,PS4,8.12,8.85,7.38
Utawarerumono: Mask of Truth,PS4,8.22,8.85,7.60
OK K.O.! Let's Play Heroes,PS4,7.88,8.85,6.91
Super Cane Magic ZERO,PC,8.19,8.85,7.53
Tooth and Tail,PS4,8.32,8.85,7.78
Vanquish,PC,8.35,8.85,7.84
Sonic & All-Stars Racing Transformed,PS3,8.45,8.85,8.05
Monster Energy Supercross - The Official Videogame 2,Switch,7.95,8.85,7.05
Friday the 13th: The Game,PS4,7.52,8.85,6.19
ATOM RPG: Post-apocalyptic indie game,PC,8.09,8.85,7.33
ICEY,PS4,8.24,8.85,7.62
BUTCHER,PC,8.05,8.85,7.25
Broforce,PS4,7.99,8.85,7.13
Killing Floor 2,PS4,8.25,8.85,7.64
The Seven Deadly Sins: Knights of Britannia,PS4,7.19,8.85,5.53
NEO Scavenger,PC,8.15,8.85,7.46
Party Hard,PC,8.04,8.85,7.23
Blocky Highway,iOS,8.59,8.85,8.33
Superliminal,Xbox One,8.26,8.85,7.67
SAS: Zombie Assault 4,iOS,8.24,8.85,7.63
Bridge Constructor Stunts,iOS,8.14,8.85,7.44
OCTAHEDRON,PC,8.32,8.85,7.79
Daemon X Machina,Switch,7.90,8.85,6.95
Shantae and the Seven Sirens,PC,8.23,8.85,7.61
Star Trek Timelines,iOS,8.22,8.85,7.59
The Darkness II,PC,8.32,8.85,7.80
Yooka-Laylee and the Impossible Lair,PS4,8.41,8.85,7.97
Absolute Drift,iOS,8.28,8.85,7.71
The LEGO Movie Videogame,PS3,8.07,8.85,7.29
Shadow Tactics: Blades of the Shogun,PS4,8.56,8.85,8.27
Super Time Force Ultra,PC,8.51,8.85,8.18
Dead Space,PC,8.57,8.84,8.30
The Tomb Raider Trilogy,PS3,8.20,8.84,7.56
1-Bit Rogue,iOS,7.96,8.84,7.07
Monster Boy and the Cursed Kingdom,Switch,8.64,8.84,8.44
FIFA 17,PS3,8.56,8.84,8.27
Bik: A Space Adventure,Android,8.34,8.84,7.84
Thomas Was Alone,PS3,8.36,8.84,7.87
Castle of Illusion starring Mickey Mouse,PC,7.99,8.84,7.15
Metro Exodus,PS4,8.48,8.84,8.12
LEGO The Lord of the Rings,PS3,8.41,8.84,7.98
Attack on Titan,Xbox One,8.04,8.84,7.23
The Banner Saga,PC,8.53,8.84,8.21
Super Daryl Deluxe,PS4,7.93,8.84,7.01
Age of Empires III,PC,8.40,8.84,7.97
SUPERHOT: MIND CONTROL DELETE,PS4,8.17,8.84,7.49
Rollers of the Realm,PC,7.75,8.84,6.66
Onechanbara Z2: Chaos,PS4,7.33,8.84,5.81
Super Daryl Deluxe,PC,7.86,8.84,6.88
Zero Escape: Zero Time Dilemma,PS Vita,8.46,8.84,8.08
Farming Simulator 2013,PC,7.89,8.84,6.94
Crazy Taxi Gazillionaire,iOS,7.71,8.84,6.58
Batman: Arkham Knight,Xbox One,8.52,8.84,8.19
Pro Evolution Soccer 2018,PS4,8.51,8.84,8.17
Zombie Catchers,iOS,8.26,8.84,7.67
Lifeline...,iOS,8.26,8.84,7.69
Nex Machina,PC,8.56,8.84,8.27
LEGO The Hobbit,PS4,7.98,8.84,7.12
Devil May Cry 5,PS4,8.75,8.84,8.66
Hue,PS Vita,8.02,8.84,7.20
Farm Together,Xbox One,8.08,8.84,7.33
Grow Up,PC,8.07,8.84,7.31
Just Dance 2018,Xbox One,7.85,8.84,6.86
Pier Solar and the Great Architects,PS4,7.84,8.84,6.84
"Look, Your Loot!",iOS,8.58,8.84,8.33
Edge of Nowhere,PC,7.97,8.84,7.11
Dust 514,PS3,7.35,8.84,5.86
Ratchet & Clank Future: A Crack in Time,PS3,8.58,8.84,8.33
Stealth Inc: A Clone in the Dark,PS3,8.34,8.84,7.84
White Day: A Labyrinth Named School,PS4,7.75,8.84,6.66
Dead Rising,PC,8.15,8.84,7.46
LEGO Star Wars: The Force Awakens,3DS,7.94,8.84,7.04
Code: Realize Guardian of Rebirth,PS Vita,8.36,8.84,7.88
Crashday Redline Edition,PC,7.97,8.84,7.11
Magicka,PC,8.10,8.84,7.36
Still There,PC,8.10,8.84,7.36
Tesla vs Lovecraft,Xbox One,8.18,8.83,7.53
Prison Architect: Playstation 4 Edition,PS4,8.32,8.83,7.81
Lego Batman 2: DC Super Heroes,PS3,8.34,8.83,7.85
Call of Duty: Modern Warfare Remastered,PS4,8.50,8.83,8.16
Inazuma Eleven GO: Light,3DS,8.10,8.83,7.37
The Metronomicon: Slay the Dance Floor,PS4,8.24,8.83,7.64
Caveboy Escape,iOS,8.12,8.83,7.41
The Ninja Saviors: Return of the Warriors,PS4,8.16,8.83,7.50
Ultra Street Fighter IV,PS3,8.51,8.83,8.19
Madden NFL 15,PS4,8.44,8.83,8.05
Mario & Luigi: Superstar Saga + Bowser's Minions,3DS,8.53,8.83,8.23
Gears of War 4,Xbox One,8.62,8.83,8.42
NO THING - Surreal Arcade Trip,Android,8.11,8.83,7.38
Sayonara UmiharaKawase,PC,7.73,8.83,6.63
Farming Simulator 19,PS4,7.65,8.83,6.47
One Piece: Pirate Warriors 4,Xbox One,8.16,8.83,7.49
Sky Force Anniversary,PS4,7.95,8.83,7.06
Warhammer AoS: Realm War,iOS,8.36,8.83,7.88
Sky Force Anniversary,Xbox One,8.19,8.83,7.56
Steins;Gate Elite,Switch,8.38,8.83,7.94
The Night of the Rabbit,PC,8.25,8.83,7.67
Tethered,PS4,8.18,8.83,7.53
FIFA Street,PS3,8.35,8.83,7.86
SimpleRockets,iOS,8.39,8.83,7.95
"That Dragon, Cancer",PC,8.28,8.83,7.73
Nidhogg,PC,8.38,8.83,7.94
Rayman Legends,Xbox One,8.47,8.83,8.11
Yooka-Laylee and the Impossible Lair,PC,8.38,8.83,7.92
BlazBlue Cross Tag Battle,PS4,8.12,8.83,7.42
Beyond Blue,PS4,7.99,8.83,7.15
DreamWorks Dragons Dawn of New Riders,Xbox One,7.78,8.83,6.73
Linelight,PS4,8.29,8.83,7.76
DRAGON QUEST V,iOS,8.59,8.83,8.35
Senran Kagura Peach Ball,Switch,7.55,8.83,6.27
Pokken Tournament DX,Switch,8.31,8.83,7.79
Hitman GO: Definitive Edition,PS4,8.17,8.83,7.51
LEGO Star Wars: The Force Awakens,Wii U,7.99,8.83,7.15
Solitairica,iOS,8.49,8.83,8.15
LEGO Ninjago: Shadow of Ronin,3DS,7.68,8.83,6.53
The Adventure Pals,PS4,8.03,8.83,7.24
NieR: Automata - BECOME AS GODS Edition,Xbox One,8.73,8.83,8.64
Headlander,PC,8.15,8.83,7.48
Ace Combat 7: Skies Unknown,Xbox One,8.39,8.83,7.95
New Little King's Story,PS Vita,8.03,8.83,7.23
Just Dance 2017,Xbox 360,8.12,8.83,7.42
Golf Clash,iOS,8.00,8.83,7.18
Banner of the Maid,PS4,8.03,8.82,7.23
Thumb Drift - Furious One Touch Car Racing,iOS,8.23,8.82,7.63
Dishonored: Definitive Edition,Xbox One,8.34,8.82,7.86
Watch Dogs 2,PS4,8.53,8.82,8.23
Arcana Heart 3: LOVE MAX!!!!!,PS3,7.97,8.82,7.11
Far Cry 4,PS3,8.58,8.82,8.33
Assassin's Creed Rogue,PS3,7.93,8.82,7.04
Hyperburner,iOS,8.57,8.82,8.31
Deception IV: The Nightmare Princess,PS4,7.95,8.82,7.07
Baldur's Gate II: Enhanced Edition,PC,8.28,8.82,7.73
Stick it to The Man,PS3,8.28,8.82,7.74
Leo's Fortune,PC,8.18,8.82,7.54
Culdcept Revolt,3DS,8.02,8.82,7.23
Disney Infinity: Marvel Super Heroes - 2.0 Edition,Wii U,8.09,8.82,7.35
Sky Force Reloaded,Xbox One,8.15,8.82,7.49
DC Legends,iOS,8.05,8.82,7.28
Octodad: Dadliest Catch,PS4,7.91,8.82,7.01
MegaTagmension Blanc + Neptune VS Zombies,PS Vita,7.52,8.82,6.22
Rogue Trooper Redux,PS4,7.52,8.82,6.22
Breath of Light,iOS,8.04,8.82,7.27
Observation,PS4,8.17,8.82,7.52
Crazy Taxi : City Rush,iOS,7.96,8.82,7.10
The Bridge,PC,8.15,8.82,7.49
Conception PLUS: Maidens of the Twelve Stars,PS4,7.78,8.82,6.73
Eliss Infinity,iOS,8.60,8.82,8.38
Max Payne 3,PS3,8.61,8.82,8.41
I Keep Having This Dream,iOS,8.27,8.82,7.72
Samurai Warriors 4,PS Vita,8.00,8.82,7.17
Immortal Redneck,PS4,8.04,8.82,7.26
The Evil Within,PS4,8.10,8.82,7.39
The Elder Scrolls Online: Tamriel Unlimited,PS4,8.09,8.82,7.36
Hyperdimension Neptunia Mk2,PS3,7.53,8.82,6.25
Skylanders: Trap Team,PS4,8.38,8.82,7.95
Monster Hunter Stories,iOS,8.39,8.82,7.97
Warp Shift,iOS,8.13,8.82,7.44
Child of Light,Xbox One,8.43,8.82,8.05
Frontline Commando 2,iOS,8.05,8.82,7.29
Milkmaid of the Milky Way,iOS,8.36,8.82,7.90
Outlast,Xbox One,8.36,8.82,7.90
Darksiders Genesis,PS4,8.17,8.82,7.53
Pang Adventures,PS4,7.71,8.82,6.60
Jelly Defense,iOS,8.13,8.82,7.45
HUNTDOWN,Xbox One,8.65,8.82,8.48
Azure Reflections,PS4,7.94,8.82,7.07
Baldur's Gate: Enhanced Edition,PC,8.28,8.82,7.74
Final Fantasy XV,Xbox One,8.35,8.82,7.89
Race The Sun,iOS,8.49,8.82,8.17
Shenmue I & II,PC,8.13,8.81,7.44
Lego Pirates of the Caribbean: The Video Game,PS3,7.93,8.81,7.04
Unforeseen Incidents,PC,8.35,8.81,7.90
LEGO Batman 3: Beyond Gotham,3DS,7.99,8.81,7.17
The Witch and the Hundred Knight: Revival Edition,PS4,7.60,8.81,6.38
Street Fighter X Tekken,PS Vita,8.36,8.81,7.90
Just Dance 2017,Switch,8.02,8.81,7.22
Disney Magical World 2,3DS,8.17,8.81,7.54
Celeste,Xbox One,8.70,8.81,8.59
Hitman,Xbox One,8.43,8.81,8.04
Toukiden 2,PS4,8.16,8.81,7.50
The Gardens Between,PS4,8.25,8.81,7.69
Shadows of Adam,PC,8.21,8.81,7.61
Xanadu Next,PC,8.38,8.81,7.95
Dandara,PS4,8.14,8.81,7.48
FIFA 17,PS4,8.62,8.81,8.43
Grow Up,PS4,7.95,8.81,7.09
Control,PC,8.49,8.81,8.17
Dynasty Warriors 8,PS3,7.98,8.81,7.14
Lara Croft GO,PS4,8.38,8.81,7.95
Ori and the Blind Forest: Definitive Edition,Xbox One,8.69,8.81,8.57
Lego Dimensions,Wii U,8.02,8.81,7.23
Never Stop Sneakin',iOS,8.09,8.81,7.37
Tembo the Badass Elephant,PS4,7.97,8.81,7.14
Dungeon Legends,iOS,7.49,8.81,6.17
Candy Crush Jelly Saga,iOS,7.99,8.81,7.17
Field of Glory II,PC,8.39,8.81,7.98
Matterfall,PS4,8.07,8.81,7.32
Tales from Space: Mutant Blobs Attack,PS3,8.32,8.81,7.83
Darkwood,PS4,8.39,8.81,7.97
The Trail: A Frontier Journey,iOS,8.13,8.81,7.46
DmC: Devil May Cry,PS3,8.45,8.81,8.10
King's Bounty: Crossworlds,PC,8.10,8.81,7.39
Berserk and the Band of the Hawk,PS4,7.79,8.81,6.77
Night Trap - 25th Anniversary Edition,PS4,7.43,8.81,6.05
Farming Simulator 18,3DS,7.96,8.81,7.11
Disgaea 1 Complete,Switch,8.26,8.80,7.72
Castlevania: Lords of Shadow 2,PS3,7.83,8.80,6.85
WarioWare Gold,3DS,8.37,8.80,7.93
Darksiders,PS3,8.49,8.80,8.17
Ys VI: The Ark of Napishtim,PC,8.19,8.80,7.58
Volume,PS Vita,8.42,8.80,8.03
Tales of Graces f,PS3,8.31,8.80,7.82
Her Story,PC,8.65,8.80,8.49
Etrian Odyssey V: Beyond the Myth,3DS,8.31,8.80,7.82
Disney Infinity 3.0 Edition,Wii U,8.25,8.80,7.70
Wolfenstein: The New Order,PS3,8.29,8.80,7.77
Unmechanical,iOS,8.36,8.80,7.92
Skylanders: Trap Team,Wii U,8.38,8.80,7.95
Penarium,Android,7.92,8.80,7.03
The Legend of Heroes: Trails of Cold Steel II,PS Vita,8.42,8.80,8.04
Mirror's Edge,PS3,8.35,8.80,7.91
Deployment,PC,7.88,8.80,6.96
Just Dance 2016,Wii U,8.00,8.80,7.20
The Vanishing of Ethan Carter,PS4,8.31,8.80,7.82
